Stunde des Tages sin,Stunde des Tages cos,Tag des Jahres sin,Tag des Jahres cos,Erzeugung[Wh] t-1,Erzeugung[Wh] t-3,Erzeugung[Wh] t-6,Erzeugung[Wh] t+24
-0.887885218402376,0.460065037731152,0.802886081438882,0.596132485469226,0.0,0.0,11.0,0.0
-0.398401089846242,-0.917211301505453,-0.725176307143377,0.688563231343277,2514.0,1989.0,109.0,2261.0
0.136166649096247,-0.990685946036331,0.822983865893657,-0.568064746731156,2340.0,745.0,76.0,3124.0
0.887885218402375,0.460065037731152,-0.759845160144579,0.650104093668744,0.0,0.0,0.0,0.0
-0.136166649096246,-0.990685946036331,0.713183230630596,-0.70097765980615,1196.0,922.0,229.0,3526.0
0.398401089846241,-0.917211301505453,-0.0689911444043252,0.997617272301248,93.0,0.0,0.0,71.0
0.730835964278124,0.682553143218654,-0.935016242685415,0.354604887042536,0.0,0.0,0.0,0.0
0.730835964278124,0.682553143218654,-0.034516138969708,0.999404140551071,0.0,0.0,0.0,0.0
-0.997668769190539,-0.0682424133646705,0.990480443987563,-0.137653514587168,2792.0,3636.0,2914.0,1495.0
-0.997668769190539,-0.0682424133646705,-0.802886081438882,-0.596132485469226,1319.0,2965.0,652.0,386.0
0.519583950035434,0.854419404546489,0.851284441584351,-0.524704487799008,0.0,0.0,0.0,0.0
-0.979084087682323,0.203456013052633,-0.38666674294142,0.92221951286181,0.0,1.0,447.0,0.0
0.887885218402375,0.460065037731152,-0.877302694199442,-0.479937477959787,0.0,0.0,0.0,0.0
-0.979084087682323,0.203456013052633,-0.893345533785563,0.449370400967161,8.0,1445.0,2519.0,0.0
0.0,1.0,-0.322120441798491,-0.946698695982806,0.0,0.0,329.0,0.0
0.816969893010442,-0.576680322114867,0.759845160144579,-0.650104093668744,374.0,64.0,0.0,770.0
-0.631087944326053,-0.77571129070442,-0.688563231343277,0.725176307143376,189.0,375.0,78.0,89.0
0.730835964278124,0.682553143218654,-0.479937477959787,0.877302694199442,0.0,0.0,0.0,0.0
0.631087944326053,-0.77571129070442,-0.970941817426052,-0.239315664287558,310.0,17.0,0.0,312.0
0.269796771157024,0.962917287347799,-0.154729334790281,0.987956898328746,0.0,0.0,0.0,0.0
-0.997668769190539,-0.0682424133646705,0.77095317479498,-0.636891829334889,2797.0,3087.0,2656.0,1984.0
0.730835964278124,0.682553143218654,-0.802886081438883,0.596132485469225,0.0,0.0,0.0,0.0
-0.398401089846242,-0.917211301505453,-0.568064746731156,-0.822983865893657,1936.0,1568.0,221.0,2503.0
0.136166649096247,-0.990685946036331,-0.860214356413501,0.509932604390136,316.0,134.0,0.0,367.0
-0.398401089846242,-0.917211301505453,0.553774889760533,-0.832666422687206,3367.0,2606.0,544.0,3725.0
0.631087944326053,-0.77571129070442,0.77095317479498,0.636891829334889,223.0,0.0,0.0,1397.0
-0.136166649096246,-0.990685946036331,0.946698695982806,-0.322120441798491,2851.0,1326.0,133.0,3202.0
0.730835964278124,0.682553143218654,-0.418267800775565,-0.908323756616754,0.0,0.0,0.0,0.0
-0.269796771157025,0.962917287347799,-0.433883739117558,0.900968867902419,0.0,0.0,0.0,0.0
-0.269796771157025,0.962917287347799,0.623489801858734,-0.78183148246803,0.0,260.0,2844.0,0.0
0.730835964278124,0.682553143218654,0.802886081438882,0.596132485469226,0.0,0.0,0.0,0.0
-0.269796771157025,0.962917287347799,-0.222520933956314,-0.974927912181824,23.3333339691162,490.416656494141,1812.66662597656,0.0
-0.730835964278124,0.682553143218654,-0.272686228489494,-0.962103019843601,504.833343505859,1024.83337402344,3034.33325195313,1.0
-0.136166649096246,-0.990685946036331,0.479937477959786,-0.877302694199442,2448.0,1752.0,242.0,3560.0
-0.887885218402376,0.460065037731152,-0.79247684195109,-0.609902004400073,247.0,17.0,3300.0,1.0
0.398401089846241,-0.917211301505453,0.98202755565343,-0.188737595452917,1481.0,227.0,0.0,2429.0
-0.94226092211882,-0.334879612170986,0.402527238739968,-0.915408008525366,1517.0,854.0,493.0,131.0
0.730835964278124,0.682553143218654,-0.596132485469225,0.802886081438883,0.0,0.0,0.0,0.0
0.979084087682323,0.203456013052634,-0.997617272301248,-0.0689911444043252,0.0,0.0,0.0,0.0
0.398401089846241,-0.917211301505453,-0.957252950553616,0.289252119536568,939.0,35.0,0.0,700.0
-0.979084087682323,0.203456013052633,0.222520933956314,0.974927912181824,0.0,31.0,1300.0,0.0
0.136166649096247,-0.990685946036331,-0.188737595452917,-0.98202755565343,797.916687011719,59.3333320617676,1.0,1425.66662597656
0.997668769190539,-0.0682424133646709,0.842100884922812,-0.539320034499199,48.0,0.0,0.0,226.0
-0.136166649096246,-0.990685946036331,0.851284441584351,0.524704487799008,2910.0,1485.0,28.0,3392.0
-0.730835964278124,0.682553143218654,-0.509932604390136,0.860214356413501,0.0,0.0,945.0,0.0
-0.631087944326053,-0.77571129070442,0.222520933956315,-0.974927912181824,2283.0,1172.0,699.0,272.0
0.0,1.0,-0.289252119536568,-0.957252950553616,0.0,12.5,651.416687011719,0.0
0.816969893010442,-0.576680322114867,0.188737595452917,-0.98202755565343,292.0,15.0,0.0,396.0
-0.887885218402376,0.460065037731152,0.0689911444043249,0.997617272301248,0.0,0.0,1098.0,0.0
-0.398401089846242,-0.917211301505453,0.272686228489494,-0.962103019843601,2313.0,1090.0,680.0,2861.0
0.0,1.0,-0.568064746731156,-0.822983865893657,0.0,0.0,349.0,0.0
-0.997668769190539,-0.0682424133646705,0.137653514587168,0.990480443987563,0.0,170.0,227.0,0.0
